Time real_data gp gp_kf
2013 5696 5668.39 5668.39
2014 5017 5072.97 5072.97
2015 5782 5841.64 5841.64
2016 5081 5074.15 5074.15
2017 6693 6627.94 6627.94
2018 11114 11092.9 11092.9
2019 7094 7190.45 7190.45
2020 11658 11691.3 11691.3
2021 6234 6159.39 6159.39
2022 0 6750.36 9872.26
2023 0 4341.34 7757.47
2024 0 6367.34 8205.45
