Time real_data gp gp_kf
2013 5696 5694.7 5694.7
2014 5017 5019.07 5019.07
2015 5782 5778.64 5778.64
2016 5081 5081.97 5081.97
2017 6693 6694.61 6694.61
2018 11114 11113.3 11113.3
2019 7094 7096.45 7096.45
2020 11658 4077.51 7920.65
2021 6234 6216.76 8174.98
2022 0 5690.68 7919.54
2023 0 6362.81 8278.7
2024 0 10829 11635.9
