Time real_data gp kf_gp
2013 31 30.8979 30.8979
2014 30 29.8825 29.8825
2015 33 32.987 32.987
2016 33 33.0269 33.0269
2017 39 38.9938 38.9938
2018 40 39.848 39.848
2019 39 39.214 39.214
2020 44 43.9898 43.9898
2021 42 42.0932 42.0932
2022 0 42.6691 50.3183
2023 0 43.3705 51.0037
2024 0 45.0028 52.4009
