Time real_data gp kf_gp
2013 45 45.0241 45.0241
2014 45 45.0816 45.0816
2015 46 45.9194 45.9194
2016 47 46.6297 46.6297
2017 41 41.8208 41.8208
2018 42 43.2165 43.2165
2019 54 51.0366 51.0366
2020 38 47.9622 42.5454
2021 40 39.6583 37.6182
2022 0 44.8852 38.9877
2023 0 47.1417 40.77
2024 0 45.6775 40.5233
