Time real_data gp kf_gp
2013 10 9.73187 9.73187
2014 18 16.5024 16.5024
2015 13 13.3362 13.3362
2016 18 17.5155 17.5155
2017 14 14.0176 14.0176
2018 10 10.0883 10.0883
2019 8 8.0296 8.0296
2020 6 5.97485 5.97485
2021 6 5.86865 5.86865
2022 0 10.6177 7.6838
2023 0 14.0145 10.407
2024 0 13.3665 10.9092
