Time real_data gp kf_gp
2013 7 7.53604 7.53604
2014 9 9.12763 9.12763
2015 9 9.27718 9.27718
2016 14 13.3238 13.3238
2017 14 13.6802 13.6802
2018 12 13.0638 13.0638
2019 16 15.0219 15.0219
2020 18 12.4014 18.9373
2021 22 10.1869 16.7218
2022 0 11.7242 16.8151
2023 0 12.2223 17.2339
2024 0 10.6932 16.2861
