Time real_data gp kf_gp
2013 45 44.9656 44.9656
2014 45 45.0382 45.0382
2015 46 46.005 46.005
2016 47 46.9958 46.9958
2017 41 40.9377 40.9377
2018 42 42.0946 42.0946
2019 54 53.7813 53.7813
2020 38 38.0429 38.0429
2021 40 40.0668 40.0668
2022 0 47.2948 39.8552
2023 0 45.1241 39.8891
2024 0 39.3293 36.5215
