Time real_data gp kf_gp
2013 37 36.9744 36.9744
2014 34 33.9894 33.9894
2015 36 36.0156 36.0156
2016 34 34.0236 34.0236
2017 37 36.9909 36.9909
2018 43 42.9688 42.9688
2019 36 36.0386 36.0386
2020 39 34.4709 40.3938
2021 38 35.6253 40.0681
2022 0 35.9163 40.0034
2023 0 34.934 39.526
2024 0 36.4713 39.9269
