Time real_data gp kf_gp
2013 31 30.7031 30.7031
2014 30 30.0923 30.0923
2015 33 33.0845 33.0845
2016 33 34.3507 34.3507
2017 39 39.066 39.066
2018 40 39.1398 39.1398
2019 39 39.1001 39.1001
2020 44 39.4372 46.4328
2021 42 37.34 45.2568
2022 0 35.3144 43.3822
2023 0 31.8555 40.2391
2024 0 29.9353 37.5852
