Time real_data gp kf_gp
2013 37 36.9234 36.9234
2014 34 33.8737 33.8737
2015 36 35.9416 35.9416
2016 34 34.0138 34.0138
2017 37 37.0867 37.0867
2018 43 42.9605 42.9605
2019 36 36.0545 36.0545
2020 39 38.8593 38.8593
2021 38 38.1005 38.1005
2022 0 36.1087 41.4537
2023 0 36.5225 41.1028
2024 0 39.6881 42.3064
