Time real_data gp kf_gp
2013 7 7.05864 7.05864
2014 9 8.80081 8.80081
2015 9 9.2676 9.2676
2016 14 13.7986 13.7986
2017 14 14.0981 14.0981
2018 12 12.2974 12.2974
2019 16 15.8901 15.8901
2020 18 18.0938 18.0938
2021 22 21.8088 21.8088
2022 0 18.0834 26.8052
2023 0 19.5273 27.5055
2024 0 17.7903 26.5364
